Series ID,Year,Period,Label,Value
LNS14032183,2003,M01,2003 Jan,5.5
LNS14032183,2003,M02,2003 Feb,5.8
LNS14032183,2003,M03,2003 Mar,6.5
LNS14032183,2003,M04,2003 Apr,6.0
LNS14032183,2003,M05,2003 May,5.5
LNS14032183,2003,M06,2003 Jun,7.4
LNS14032183,2003,M07,2003 Jul,5.9
LNS14032183,2003,M08,2003 Aug,6.0
LNS14032183,2003,M09,2003 Sep,6.4
LNS14032183,2003,M10,2003 Oct,6.2
LNS14032183,2003,M11,2003 Nov,5.2
LNS14032183,2003,M12,2003 Dec,5.4
LNS14032183,2004,M01,2004 Jan,5.0
LNS14032183,2004,M02,2004 Feb,4.5
LNS14032183,2004,M03,2004 Mar,4.3
LNS14032183,2004,M04,2004 Apr,4.7
LNS14032183,2004,M05,2004 May,4.6
LNS14032183,2004,M06,2004 Jun,4.6
LNS14032183,2004,M07,2004 Jul,3.9
LNS14032183,2004,M08,2004 Aug,3.7
LNS14032183,2004,M09,2004 Sep,4.5
LNS14032183,2004,M10,2004 Oct,4.9
LNS14032183,2004,M11,2004 Nov,4.1
LNS14032183,2004,M12,2004 Dec,4.2
LNS14032183,2005,M01,2005 Jan,4.1
LNS14032183,2005,M02,2005 Feb,4.3
LNS14032183,2005,M03,2005 Mar,3.9
LNS14032183,2005,M04,2005 Apr,4.2
LNS14032183,2005,M05,2005 May,4.2
LNS14032183,2005,M06,2005 Jun,3.6
LNS14032183,2005,M07,2005 Jul,4.8
LNS14032183,2005,M08,2005 Aug,3.7
LNS14032183,2005,M09,2005 Sep,4.3
LNS14032183,2005,M10,2005 Oct,3.2
LNS14032183,2005,M11,2005 Nov,3.6
LNS14032183,2005,M12,2005 Dec,3.8
LNS14032183,2006,M01,2006 Jan,3.0
LNS14032183,2006,M02,2006 Feb,3.0
LNS14032183,2006,M03,2006 Mar,3.5
LNS14032183,2006,M04,2006 Apr,3.9
LNS14032183,2006,M05,2006 May,3.3
LNS14032183,2006,M06,2006 Jun,3.1
LNS14032183,2006,M07,2006 Jul,2.4
LNS14032183,2006,M08,2006 Aug,3.0
LNS14032183,2006,M09,2006 Sep,3.0
LNS14032183,2006,M10,2006 Oct,2.8
LNS14032183,2006,M11,2006 Nov,3.1
LNS14032183,2006,M12,2006 Dec,2.5
LNS14032183,2007,M01,2007 Jan,3.1
LNS14032183,2007,M02,2007 Feb,2.6
LNS14032183,2007,M03,2007 Mar,3.0
LNS14032183,2007,M04,2007 Apr,3.5
LNS14032183,2007,M05,2007 May,3.2
LNS14032183,2007,M06,2007 Jun,2.7
LNS14032183,2007,M07,2007 Jul,2.7
LNS14032183,2007,M08,2007 Aug,3.5
LNS14032183,2007,M09,2007 Sep,3.4
LNS14032183,2007,M10,2007 Oct,3.8
LNS14032183,2007,M11,2007 Nov,3.6
LNS14032183,2007,M12,2007 Dec,3.7
LNS14032183,2008,M01,2008 Jan,3.1
LNS14032183,2008,M02,2008 Feb,2.9
LNS14032183,2008,M03,2008 Mar,3.6
LNS14032183,2008,M04,2008 Apr,3.5
LNS14032183,2008,M05,2008 May,4.1
LNS14032183,2008,M06,2008 Jun,4.2
LNS14032183,2008,M07,2008 Jul,3.7
LNS14032183,2008,M08,2008 Aug,4.5
LNS14032183,2008,M09,2008 Sep,4.0
LNS14032183,2008,M10,2008 Oct,3.9
LNS14032183,2008,M11,2008 Nov,4.8
LNS14032183,2008,M12,2008 Dec,5.1
LNS14032183,2009,M01,2009 Jan,6.1
LNS14032183,2009,M02,2009 Feb,6.7
LNS14032183,2009,M03,2009 Mar,6.5
LNS14032183,2009,M04,2009 Apr,6.8
LNS14032183,2009,M05,2009 May,7.0
LNS14032183,2009,M06,2009 Jun,7.9
