"Table 1.1.5. Gross Domestic Product"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: November 24, 2021 - Next Release Date December 22, 2021"
"Line","","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3"
"1","        Gross domestic product",10002.2,10247.7,10318.2,10435.7,10470.2,10599.0,10598.0,10660.5,10783.5,10887.5,10984.0,11061.4,11174.1,11312.8,11566.7,11772.2,11923.4,12112.8,12305.3,12527.2,12767.3,12922.7,13142.6,13324.2,13599.2,13753.4,13870.2,14039.6,14215.7,14402.1,14564.1,14715.1,14706.5,14865.7,14899.0,14608.2,14430.9,14381.2,14448.9,14651.2,14764.6,14980.2,15141.6,15309.5,15351.4,15557.5,15647.7,15842.3,16068.8,16207.1,16319.5,16420.4,16629.1,16699.6,16911.1,17133.1,17144.3,17462.7,17743.2,17852.5,17991.3,18193.7,18307.0,18332.1,18425.3,18611.6,18775.5,18968.0,19153.9,19322.9,19558.7,19883.0,20143.7,20492.5,20659.1,20813.3,21001.6,21289.3,21505.0,21694.5,21481.4,19477.4,21138.6,21477.6,22038.2,22741.0,23187.0
"2","Personal consumption expenditures",6618.2,6711.9,6820.0,6918.6,6995.3,7042.3,7070.3,7187.3,7217.7,7308.0,7397.1,7473.0,7567.2,7661.5,7820.9,7913.5,8048.8,8147.1,8283.3,8448.6,8551.7,8701.1,8868.1,8955.3,9100.2,9227.6,9353.8,9427.4,9572.1,9678.7,9798.4,9937.1,10004.4,10129.9,10159.1,9906.9,9815.0,9805.5,9939.4,10005.0,10101.8,10208.1,10300.8,10430.3,10558.2,10673.0,10755.0,10809.2,10959.3,11005.1,11059.4,11165.7,11265.6,11291.0,11379.2,11518.4,11618.1,11784.7,11934.3,12053.8,12083.9,12224.7,12347.8,12397.5,12495.1,12637.4,12759.1,12881.6,13046.4,13144.4,13268.1,13497.5,13667.4,13864.8,14002.6,14119.3,14155.6,14375.7,14529.5,14653.9,14439.1,12989.7,14293.8,14467.6,15005.4,15681.7,15952.4
"3","    Goods",2413.1,2437.1,2469.2,2493.4,2499.2,2510.1,2515.2,2577.8,2561.9,2586.9,2618.4,2628.0,2657.3,2677.9,2766.2,2788.9,2843.2,2869.0,2911.3,2984.5,3001.9,3057.4,3137.8,3134.5,3196.8,3226.1,3273.4,3262.2,3308.1,3351.8,3380.0,3428.2,3406.4,3443.5,3427.9,3175.1,3120.0,3134.5,3228.5,3237.1,3266.2,3291.2,3315.1,3398.8,3469.0,3514.5,3527.8,3561.2,3628.7,3616.4,3631.8,3674.1,3731.6,3699.3,3730.4,3758.6,3789.5,3862.9,3897.9,3901.5,3867.9,3927.4,3960.4,3936.3,3934.4,3984.7,4008.4,4039.9,4095.4,4115.8,4159.9,4263.1,4298.4,4354.4,4373.2,4388.8,4382.8,4479.4,4512.7,4540.8,4530.9,4349.9,4867.2,4867.3,5245.0,5529.8,5505.9
"4","        Durable goods",920.9,901.9,911.7,915.8,926.8,919.5,923.9,995.9,976.2,977.4,1001.7,986.1,974.5,1007.8,1041.8,1047.1,1064.2,1066.0,1085.0,1107.1,1110.0,1137.9,1151.8,1114.7,1154.1,1149.2,1160.5,1169.4,1179.0,1185.7,1191.9,1195.6,1153.5,1137.7,1095.8,1008.0,1004.5,994.7,1035.1,1014.2,1021.1,1043.9,1052.4,1078.4,1087.9,1082.9,1090.8,1112.4,1138.1,1133.6,1141.7,1163.6,1188.8,1185.5,1188.9,1194.5,1203.5,1239.4,1255.6,1269.7,1283.8,1309.6,1318.5,1318.5,1328.7,1335.9,1354.7,1361.5,1370.7,1377.0,1397.7,1441.1,1449.4,1471.3,1478.2,1477.8,1473.3,1509.2,1531.4,1539.2,1484.9,1468.3,1753.3,1759.2,1957.8,2092.2,1995.9
"5","        Nondurable goods",1492.2,1535.1,1557.5,1577.6,1572.4,1590.6,1591.4,1581.9,1585.6,1609.5,1616.7,1641.9,1682.8,1670.1,1724.5,1741.8,1779.0,1803.0,1826.3,1877.5,1892.0,1919.5,1986.0,2019.7,2042.7,2076.8,2112.9,2092.8,2129.1,2166.1,2188.2,2232.6,2252.9,2305.8,2332.1,2167.1,2115.5,2139.8,2193.4,2222.9,2245.1,2247.3,2262.7,2320.4,2381.1,2431.6,2437.0,2448.8,2490.6,2482.8,2490.1,2510.5,2542.8,2513.9,2541.4,2564.1,2586.0,2623.5,2642.3,2631.7,2584.1,2617.7,2641.9,2617.8,2605.7,2648.8,2653.7,2678.5,2724.7,2738.8,2762.1,2822.0,2849.1,2883.2,2895.0,2911.0,2909.5,2970.1,2981.3,3001.6,3046.0,2881.7,3113.9,3108.1,3287.2,3437.6,3510.0
"6","    Services",4205.1,4274.9,4350.8,4425.2,4496.1,4532.1,4555.1,4609.5,4655.8,4721.0,4778.7,4845.0,4909.8,4983.6,5054.7,5124.5,5205.5,5278.1,5372.0,5464.1,5549.8,5643.7,5730.2,5820.8,5903.3,6001.6,6080.3,6165.1,6264.0,6326.9,6418.4,6509.0,6598.1,6686.3,6731.2,6731.9,6694.9,6671.0,6710.9,6767.9,6835.7,6916.9,6985.6,7031.5,7089.2,7158.6,7227.3,7248.0,7330.6,7388.7,7427.6,7491.6,7534.0,7591.6,7648.8,7759.8,7828.6,7921.7,8036.4,8152.4,8216.0,8297.4,8387.3,8461.3,8560.6,8652.7,8750.7,8841.6,8951.0,9028.6,9108.3,9234.3,9369.0,9510.3,9629.4,9730.5,9772.7,9896.3,10016.8,10113.2,9908.2,8639.8,9426.6,9600.4,9760.4,10151.9,10446.5
"7","Gross private domestic investment",1950.7,2075.8,2060.0,2067.2,1971.3,1973.0,1944.9,1850.1,1912.7,1933.3,1933.2,1942.5,1960.2,1972.4,2044.3,2131.3,2154.1,2262.6,2318.3,2390.1,2486.1,2476.5,2531.1,2645.3,2709.7,2709.3,2709.4,2675.4,2664.3,2699.2,2686.0,2642.6,2563.7,2540.6,2498.2,2307.9,2014.9,1863.7,1841.4,1998.7,2038.2,2148.8,2236.5,2238.4,2206.0,2297.4,2322.8,2504.1,2567.8,2636.9,2644.1,2638.3,2738.2,2775.3,2880.0,2910.5,2899.2,3030.4,3107.6,3139.5,3245.1,3245.8,3251.7,3206.1,3174.4,3178.5,3185.7,3281.5,3283.5,3357.4,3413.3,3471.4,3550.8,3603.2,3679.6,3717.5,3801.9,3843.0,3858.2,3801.9,3752.4,3167.0,3708.8,3923.2,3928.0,3925.1,4090.7
"8","    Fixed investment",1934.5,1985.3,2002.7,2012.9,2002.0,1984.6,1975.0,1930.9,1912.4,1912.1,1907.8,1909.5,1934.1,1978.9,2043.9,2095.0,2108.0,2188.6,2254.1,2318.0,2383.6,2447.6,2518.7,2558.9,2631.5,2633.7,2630.7,2631.9,2642.9,2657.0,2641.0,2615.3,2580.4,2562.8,2514.1,2370.1,2165.9,2059.7,2045.4,2050.8,2039.4,2112.1,2123.6,2171.1,2173.9,2236.3,2334.9,2400.1,2487.5,2545.5,2559.7,2609.5,2656.0,2687.5,2743.8,2798.7,2847.0,2934.0,3008.2,3051.7,3069.4,3095.8,3124.9,3111.4,3119.9,3148.2,3182.3,3224.7,3288.1,3336.4,3354.2,3429.0,3505.0,3579.0,3602.5,3629.9,3683.4,3754.5,3791.2,3781.4,3773.0,3456.9,3693.8,3865.9,4022.2,4099.4,4155.9
"9","        Nonresidential",1450.3,1498.7,1519.7,1525.1,1505.2,1473.6,1452.6,1408.9,1374.0,1357.3,1348.9,1331.2,1332.7,1366.8,1392.1,1411.9,1401.8,1445.5,1490.5,1531.7,1568.3,1603.8,1643.1,1668.7,1735.3,1774.4,1815.9,1849.5,1892.0,1937.7,1967.4,1997.1,2013.7,2024.0,2007.0,1918.7,1761.4,1685.0,1656.0,1659.3,1660.0,1715.7,1762.4,1801.9,1805.1,1862.0,1953.8,2009.0,2073.4,2126.2,2126.0,2148.6,2170.9,2180.3,2220.7,2274.0,2314.9,2383.6,2439.8,2462.0,2464.3,2472.5,2479.2,2450.3,2435.5,2454.1,2481.6,2506.2,2545.4,2579.7,2592.7,2648.6,2716.0,2770.1,2798.1,2838.1,2886.9,2946.1,2969.3,2952.6,2900.1,2659.1,2776.6,2862.7,2956.7,3029.2,3072.8
"10","            Structures",300.6,316.2,330.9,336.3,331.8,338.9,347.1,316.3,302.7,289.3,278.2,277.7,279.2,286.9,287.9,292.4,292.3,300.8,314.0,323.6,337.5,345.0,355.8,373.6,397.6,420.1,435.8,447.2,469.6,498.1,526.7,546.8,556.9,571.9,578.8,576.8,527.7,473.1,429.5,392.9,368.8,382.1,379.1,389.2,362.2,392.7,421.2,441.8,470.1,488.1,484.7,474.9,463.0,480.0,507.5,519.5,546.7,574.7,586.0,603.0,596.9,599.0,582.7,558.9,536.0,550.1,571.6,583.7,599.4,605.0,593.2,599.6,627.2,641.6,638.2,626.1,639.9,669.4,696.0,685.3,687.1,585.9,563.5,552.3,565.0,572.8,580.3
"11","            Equipment",749.4,774.0,774.0,767.0,751.7,716.0,692.4,686.0,667.3,661.9,661.3,648.0,644.3,665.2,680.7,692.3,681.8,713.5,734.2,758.1,768.6,786.9,808.3,815.8,850.2,857.6,867.4,873.9,886.3,897.8,896.0,893.6,885.4,871.8,852.1,772.2,683.5,652.2,662.0,683.3,719.8,763.7,804.5,820.1,839.8,854.3,904.5,926.5,957.8,984.4,984.3,1007.1,1022.8,1018.0,1016.5,1050.9,1058.2,1085.2,1117.0,1107.4,1115.6,1117.4,1130.9,1113.9,1104.3,1087.0,1080.0,1079.7,1089.0,1110.1,1118.3,1152.0,1166.4,1175.7,1195.7,1224.2,1240.2,1247.4,1227.4,1210.3,1141.9,1020.6,1135.5,1197.5,1244.5,1270.4,1277.0
"12","            Intellectual property products",400.3,408.6,414.7,421.8,421.8,418.7,413.1,406.6,404.1,406.0,409.3,405.5,409.2,414.7,423.5,427.2,427.7,431.2,442.3,450.1,462.2,472.0,479.1,479.3,487.6,496.7,512.7,528.4,536.2,541.8,544.7,556.7,571.4,580.3,576.1,569.8,550.1,559.7,564.5,583.1,571.4,570.0,578.8,592.5,603.1,615.1,628.1,640.7,645.4,653.7,657.0,666.6,685.1,682.3,696.7,703.6,710.0,723.6,736.7,751.6,751.7,756.1,765.6,777.4,795.2,816.9,830.0,842.8,857.0,864.7,881.2,897.0,922.3,952.7,964.2,987.7,1006.7,1029.3,1046.0,1057.0,1071.1,1052.6,1077.6,1112.9,1147.2,1186.0,1215.5
"13","        Residential",484.2,486.6,483.1,487.8,496.7,511.0,522.4,522.1,538.3,554.8,558.9,578.3,601.4,612.0,651.7,683.1,706.2,743.2,763.6,786.3,815.3,843.8,875.6,890.2,896.2,859.3,814.7,782.4,750.9,719.3,673.7,618.2,566.7,538.8,507.1,451.4,404.5,374.7,389.4,391.5,379.4,396.3,361.2,369.3,368.8,374.3,381.1,391.2,414.1,419.3,433.7,460.9,485.1,507.2,523.1,524.6,532.1,550.4,568.4,589.7,605.1,623.3,645.7,661.1,684.4,694.1,700.7,718.6,742.7,756.7,761.5,780.4,789.0,808.9,804.3,791.8,796.5,808.5,821.9,828.8,872.9,797.8,917.2,1003.2,1065.5,1070.2,1083.1
"14","    Change in private inventories",16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,0.3,21.2,25.4,33.0,26.1,-6.5,0.4,36.3,46.0,74.0,64.2,72.1,102.5,28.8,12.4,86.4,78.2,75.5,78.8,43.5,21.4,42.2,44.9,27.3,-16.7,-22.3,-15.8,-62.2,-151.0,-196.0,-204.0,-52.1,-1.2,36.7,112.9,67.3,32.1,61.0,-12.0,104.0,80.3,91.4,84.4,28.7,82.3,87.8,136.2,111.9,52.3,96.4,99.4,87.8,175.6,150.0,126.8,94.7,54.5,30.3,3.4,56.8,-4.6,21.0,59.1,42.4,45.9,24.2,77.1,87.7,118.5,88.4,67.0,20.6,-20.6,-289.9,15.0,57.3,-94.2,-174.3,-65.3
